Source      ,Target       ,category        ,Weight
PA37178     ,PA443622     ,ASSOCIATED_WITH ,     1
PA37178     ,DOID:2994    ,ASSOCIATED_WITH ,     1
PA37178     ,PA445218     ,ASSOCIATED_WITH ,     1
PA37178     ,PA446108     ,ASSOCIATED_WITH ,     1
PA37178     ,PA444840     ,ASSOCIATED_WITH ,     1
PA37178     ,PA446615     ,ASSOCIATED_WITH ,     1
PA37178     ,PA443756     ,ASSOCIATED_WITH ,     1
PA37178     ,DOID:4074    ,ASSOCIATED_WITH ,     1
PA37178     ,DOID:234     ,ASSOCIATED_WITH ,     1
PA37179     ,PA443622     ,ASSOCIATED_WITH ,     1
PA37179     ,DOID:1996    ,ASSOCIATED_WITH ,     1
PA37179     ,DOID:234     ,ASSOCIATED_WITH ,     1
PA37179     ,PA445503     ,ASSOCIATED_WITH ,     1
PA37179     ,PA443756     ,ASSOCIATED_WITH ,     1
PA37179     ,PA443557     ,ASSOCIATED_WITH ,     1
PA37179     ,PA444750     ,ASSOCIATED_WITH ,     1
PA37179     ,PA445742     ,ASSOCIATED_WITH ,     1
PA37179     ,DOID:235     ,ASSOCIATED_WITH ,     1
PA37179     ,DOID:2994    ,ASSOCIATED_WITH ,     1
PA37179     ,DOID:4074    ,ASSOCIATED_WITH ,     1
PA37179     ,PA445218     ,ASSOCIATED_WITH ,     1
PA37179     ,PA446108     ,ASSOCIATED_WITH ,     1
PA37179     ,PA443560     ,ASSOCIATED_WITH ,     1
PA37179     ,PA444840     ,ASSOCIATED_WITH ,     1
PA37179     ,PA446615     ,ASSOCIATED_WITH ,     1
PA37180     ,PA443622     ,ASSOCIATED_WITH ,     1
PA37180     ,PA443560     ,ASSOCIATED_WITH ,     1
PA37180     ,PA443557     ,ASSOCIATED_WITH ,     1
PA37180     ,PA446108     ,ASSOCIATED_WITH ,     1
PA37180     ,DOID:2994    ,ASSOCIATED_WITH ,     1
PA37180     ,DOID:4074    ,ASSOCIATED_WITH ,     1
PA37180     ,DOID:235     ,ASSOCIATED_WITH ,     1
PA37180     ,PA444840     ,ASSOCIATED_WITH ,     1
PA37180     ,PA443756     ,ASSOCIATED_WITH ,     1
PA37180     ,PA444750     ,ASSOCIATED_WITH ,     1
PA37180     ,PA445218     ,ASSOCIATED_WITH ,     1
PA37180     ,DOID:1996    ,ASSOCIATED_WITH ,     1
PA37180     ,PA445742     ,ASSOCIATED_WITH ,     1
PA37180     ,DOID:234     ,ASSOCIATED_WITH ,     1
PA37180     ,PA445503     ,ASSOCIATED_WITH ,     1
PA37180     ,PA446615     ,ASSOCIATED_WITH ,     1
PA37181     ,PA445503     ,ASSOCIATED_WITH ,     1
PA37181     ,DOID:2994    ,ASSOCIATED_WITH ,     1
PA37181     ,PA446108     ,ASSOCIATED_WITH ,     1
PA37181     ,PA443756     ,ASSOCIATED_WITH ,     1
PA37181     ,PA443557     ,ASSOCIATED_WITH ,     1
PA37181     ,PA446615     ,ASSOCIATED_WITH ,     1
PA37181     ,PA444840     ,ASSOCIATED_WITH ,     1
PA37181     ,PA445218     ,ASSOCIATED_WITH ,     1
PA37181     ,PA444750     ,ASSOCIATED_WITH ,     1
PA37181     ,DOID:235     ,ASSOCIATED_WITH ,     1
PA37181     ,PA445742     ,ASSOCIATED_WITH ,     1
PA37181     ,PA443560     ,ASSOCIATED_WITH ,     1
PA37181     ,PA443622     ,ASSOCIATED_WITH ,     1
PA37181     ,DOID:234     ,ASSOCIATED_WITH ,     1
PA37181     ,DOID:4074    ,ASSOCIATED_WITH ,     1
