Source      ,Target      ,category        ,Weight
PA34896     ,PA451522    ,ASSOCIATED_WITH ,    42
PA126       ,PA166182736 ,ASSOCIATED_WITH ,     1
PA34896     ,PA451341    ,ASSOCIATED_WITH ,    42
PA85        ,PA451341    ,ASSOCIATED_WITH ,     2
PA31274     ,PA452167    ,ASSOCIATED_WITH ,     3
PA31259     ,PA452167    ,ASSOCIATED_WITH ,     2
PA27121     ,PA452632    ,ASSOCIATED_WITH ,     1
PA133787052 ,PA452632    ,ASSOCIATED_WITH ,     3
PA165450635 ,PA452632    ,ASSOCIATED_WITH ,     3
PA134899581 ,PA452632    ,ASSOCIATED_WITH ,     2
PA126       ,PA452632    ,ASSOCIATED_WITH ,     1
PA134865839 ,PA133950441 ,ASSOCIATED_WITH ,     1
PA159       ,PA452637    ,ASSOCIATED_WITH ,     1
PA109       ,PA166152935 ,ASSOCIATED_WITH ,     1
PA109       ,PA166179845 ,ASSOCIATED_WITH ,     1
PA31259     ,PA450137    ,ASSOCIATED_WITH ,     2
PA31274     ,PA450137    ,ASSOCIATED_WITH ,     3
PA166049147 ,PA451999    ,ASSOCIATED_WITH ,     1
PA134952671 ,PA451999    ,ASSOCIATED_WITH ,     1
PA128       ,PA449409    ,ASSOCIATED_WITH ,     1
PA124       ,PA449409    ,ASSOCIATED_WITH ,     1
