Source,Target,Type,Category
PA449035,DOID:8596,Dirigé,treats
PA449247,PA443264,Dirigé,treats
PA449247,PA444546,Dirigé,treats
PA451241,DOID:0050195,Dirigé,treats
PA164776669,PA166048863,Dirigé,treats
PA450704,DOID:76,Dirigé,treats
PA164776669,PA166048864,Dirigé,treats
PA450935,PA445647,Dirigé,treats
PA451241,DOID:4411,Dirigé,treats
PA451241,PA444797,Dirigé,treats
PA448681,PA165109167,Dirigé,treats
PA451241,PA444445,Dirigé,treats
PA451241,PA444435,Dirigé,treats
00557,PA447196,Dirigé,treats
PA449456,PA443434,Dirigé,treats
PA450704,DOID:12642,Dirigé,treats
PA451483,PA444509,Dirigé,treats
PA451483,DOID:12028,Dirigé,treats
PA450522,PA447196,Dirigé,treats
PA450935,PA444282,Dirigé,treats
PA449456,PA444370,Dirigé,treats
PA164776669,PA166048837,Dirigé,treats
PA450522,DOID:4964,Dirigé,treats
PA450704,PA444250,Dirigé,treats
PA450704,DOID:750,Dirigé,treats
PA450704,DOID:0050782,Dirigé,treats
PA450704,PA443945,Dirigé,treats
PA451241,PA165108380,Dirigé,treats
PA164745442,DOID:10371,Dirigé,treats
PA451241,DOID:0050194,Dirigé,treats
PA450704,PA444104,Dirigé,treats
PA164777036,PA444822,Dirigé,treats
PA450980,DOID:5502,Dirigé,treats
PA450475,DOID:8534,Dirigé,treats
PA164764584,PA445254,Dirigé,treats
PA164746311,PA446713,Dirigé,treats
PA164743013,PA443444,Dirigé,treats
PA449818,PA445047,Dirigé,treats
06282,PA445999,Dirigé,treats
PA164777036,PA443434,Dirigé,treats
PA448780,PA443434,Dirigé,treats
PA164746311,PA446590,Dirigé,treats
PA449818,PA443766,Dirigé,treats
PA164746311,DOID:4907,Dirigé,treats
PA164746311,DOID:8411,Dirigé,treats
PA164746311,PA443624,Dirigé,treats
PA450980,PA445604,Dirigé,treats
PA164777036,DOID:11100,Dirigé,treats
PA164777036,PA445555,Dirigé,treats
06412,PA443340,Dirigé,treats
PA449818,PA445672,Dirigé,treats
PA448780,PA445499,Dirigé,treats
PA164777036,PA444820,Dirigé,treats
PA451193,DOID:2112,Dirigé,treats
PA451193,PA446390,Dirigé,treats
SALT000604,DOID:2272,Dirigé,treats
PA164746311,PA444627,Dirigé,treats
PA164777036,PA444859,Dirigé,treats
PA451193,PA444859,Dirigé,treats
PA164746311,PA444685,Dirigé,treats
PA164746311,DOID:4467,Dirigé,treats
PA451193,PA445903,Dirigé,treats
PA164777036,PA446446,Dirigé,treats
PA164746311,PA160680212,Dirigé,treats
PA451576,PA443853,Dirigé,treats
PA164777036,PA443430,Dirigé,treats
PA164777036,PA445320,Dirigé,treats
PA449818,PA444186,Dirigé,treats
PA164746311,PA444760,Dirigé,treats
PA449298,PA445465,Dirigé,treats
PA164743013,PA443597,Dirigé,treats
SALT000604,PA443599,Dirigé,treats
PA448780,DOID:10824,Dirigé,treats
PA449818,PA445312,Dirigé,treats
PA450475,PA446746,Dirigé,treats
PA164746311,DOID:1798,Dirigé,treats
PA164746311,PA444840,Dirigé,treats
PA448780,DOID:445,Dirigé,treats
PA449823,DOID:10763,Dirigé,treats
PA164746311,PA446651,Dirigé,treats
PA164746311,PA446654,Dirigé,treats
PA164776637,PA445109,Dirigé,treats
PA164742950,DOID:10763,Dirigé,treats
PA164742949,PA445528,Dirigé,treats
PA164776637,PA444412,Dirigé,treats
PA449503,PA162372808,Dirigé,treats
PA449415,DOID:5052,Dirigé,treats
PA449415,DOID:13431,Dirigé,treats
PA449415,DOID:13034,Dirigé,treats
PA449415,PA445795,Dirigé,treats
PA449415,PA443875,Dirigé,treats
PA449503,PA444926,Dirigé,treats
PA449415,PA165109120,Dirigé,treats
PA449415,PA165109103,Dirigé,treats
PA165948903,DOID:0050744,Dirigé,treats
PA449415,DOID:9113,Dirigé,treats
PA449415,DOID:11263,Dirigé,treats
PA449415,PA443655,Dirigé,treats
PA165948903,PA160680212,Dirigé,treats
PA449503,PA445425,Dirigé,treats
PA449415,DOID:1022,Dirigé,treats
PA449503,PA446361,Dirigé,treats
PA449415,DOID:2123,Dirigé,treats
PA449415,DOID:11100,Dirigé,treats
PA449415,PA445992,Dirigé,treats
PA449415,DOID:13036,Dirigé,treats
PA449415,PA444825,Dirigé,treats
PA449415,DOID:10921,Dirigé,treats
PA449415,DOID:0060000,Dirigé,treats
PA165948903,PA444840,Dirigé,treats
PA449415,DOID:0050052,Dirigé,treats
PA449415,PA446721,Dirigé,treats
PA449503,PA443560,Dirigé,treats
PA449415,PA443385,Dirigé,treats
PA449415,PA445672,Dirigé,treats
PA449415,DOID:10773,Dirigé,treats
PA449415,PA165108477,Dirigé,treats
PA449415,PA165109006,Dirigé,treats
PA449415,DOID:0050480,Dirigé,treats
PA449415,DOID:10027,Dirigé,treats
PA449415,DOID:10457,Dirigé,treats
PA449415,PA165108379,Dirigé,treats
PA449415,PA445165,Dirigé,treats
PA449415,DOID:14095,Dirigé,treats
PA449415,DOID:8881,Dirigé,treats
PA449415,DOID:12096,Dirigé,treats
PA449415,DOID:11573,Dirigé,treats
PA449415,PA445972,Dirigé,treats
PA449415,PA443575,Dirigé,treats
PA449415,DOID:13035,Dirigé,treats
PA449415,DOID:10242,Dirigé,treats
PA165948903,PA444845,Dirigé,treats
PA449503,PA445203,Dirigé,treats
PA449415,DOID:13238,Dirigé,treats
PA449211,PA443247,Dirigé,treats
PA449059,PA445992,Dirigé,treats
PA449334,PA445019,Dirigé,treats
PA450428,DOID:0080639,Dirigé,treats
PA450428,PA443434,Dirigé,treats
PA450428,PA446366,Dirigé,treats
PA449059,PA446721,Dirigé,treats
PA450428,PA444845,Dirigé,treats
PA449211,PA443877,Dirigé,treats
PA450428,DOID:4398,Dirigé,treats
PA450428,PA445818,Dirigé,treats
PA449319,PA444370,Dirigé,treats
PA449319,PA443459,Dirigé,treats
PA450428,PA445379,Dirigé,treats
PA450428,PA445010,Dirigé,treats
PA449059,DOID:381,Dirigé,treats
PA449211,DOID:9111,Dirigé,treats
PA450428,PA445828,Dirigé,treats
PA450428,PA160680212,Dirigé,treats
PA450428,DOID:3234,Dirigé,treats
PA449334,PA443459,Dirigé,treats
PA450428,PA444760,Dirigé,treats
PA449211,PA445375,Dirigé,treats
PA450428,PA444101,Dirigé,treats
PA450428,PA445272,Dirigé,treats
PA450428,PA445601,Dirigé,treats
PA450428,PA445934,Dirigé,treats
PA450428,PA444352,Dirigé,treats
PA450428,PA443430,Dirigé,treats
PA448681,PA443750,Dirigé,treats
PA450428,PA443560,Dirigé,treats
PA450428,PA446304,Dirigé,treats
PA450428,DOID:3683,Dirigé,treats
PA450428,DOID:0060329,Dirigé,treats
PA450428,PA444840,Dirigé,treats
PA449059,DOID:1019,Dirigé,treats
PA450428,PA445724,Dirigé,treats
PA450428,PA444750,Dirigé,treats
PA450428,PA446180,Dirigé,treats
PA450428,PA446477,Dirigé,treats
PA450428,PA446010,Dirigé,treats
PA450428,PA445742,Dirigé,treats
PA449059,PA443655,Dirigé,treats
PA449334,DOID:10763,Dirigé,treats
PA449211,PA444745,Dirigé,treats
PA450428,PA443433,Dirigé,treats
PA450428,PA445594,Dirigé,treats
PA450428,PA445451,Dirigé,treats
PA449211,PA446152,Dirigé,treats
PA451141,PA445736,Dirigé,treats
PA449753,PA445992,Dirigé,treats
PA450163,DOID:526,Dirigé,treats
PA448576,DOID:9463,Dirigé,treats
PA451788,DOID:2312,Dirigé,treats
PA449415,PA443247,Dirigé,treats
PA449753,PA166048734,Dirigé,treats
PA449753,DOID:0060000,Dirigé,treats
PA164748762,PA444432,Dirigé,treats
PA450640,PA445992,Dirigé,treats
PA449415,DOID:10371,Dirigé,treats
PA450640,PA443833,Dirigé,treats
PA450163,PA444437,Dirigé,treats
PA449753,DOID:10773,Dirigé,treats
PA449753,PA165109006,Dirigé,treats
PA451224,PA444250,Dirigé,treats
PA449301,DOID:635,Dirigé,treats
PA449441,DOID:635,Dirigé,treats
PA451250,PA445954,Dirigé,treats
PA451250,PA445960,Dirigé,treats
PA451250,PA443575,Dirigé,treats
PA449753,PA444280,Dirigé,treats
PA449753,DOID:11573,Dirigé,treats
PA449381,PA444368,Dirigé,treats
PA451788,PA445361,Dirigé,treats
PA450163,DOID:635,Dirigé,treats
PA451141,PA443851,Dirigé,treats
PA448576,PA445196,Dirigé,treats
PA451250,PA444745,Dirigé,treats
PA448576,DOID:9746,Dirigé,treats
PA449415,PA444859,Dirigé,treats
PA449753,PA444034,Dirigé,treats
PA451128,PA444966,Dirigé,treats
PA451224,DOID:8534,Dirigé,treats
PA448576,PA444465,Dirigé,treats
PA449415,PA445355,Dirigé,treats
PA451250,DOID:0050246,Dirigé,treats
PA451250,PA165109120,Dirigé,treats
PA164746803,PA444370,Dirigé,treats
PA449301,DOID:526,Dirigé,treats
PA449753,DOID:9113,Dirigé,treats
PA449441,DOID:526,Dirigé,treats
PA451788,PA445992,Dirigé,treats
PA164746803,PA443632,Dirigé,treats
PA164748762,PA443782,Dirigé,treats
PA451250,DOID:4889,Dirigé,treats
PA164748092,DOID:5502,Dirigé,treats
PA448905,DOID:1352,Dirigé,treats
PA450496,PA445736,Dirigé,treats
PA449972,PA445683,Dirigé,treats
PA166184060,PA447178,Dirigé,treats
PA450262,PA443755,Dirigé,treats
PA163518919,PA166123368,Dirigé,treats
PA448708,PA445254,Dirigé,treats
PA450882,DOID:11328,Dirigé,treats
PA164749133,DOID:13276,Dirigé,treats
PA450882,PA444270,Dirigé,treats
PA451224,DOID:12642,Dirigé,treats
PA451545,DOID:2272,Dirigé,treats
PA449972,DOID:8866,Dirigé,treats
PA448708,DOID:5396,Dirigé,treats
PA450882,PA443853,Dirigé,treats
PA448897,DOID:1168,Dirigé,treats
PA165946873,PA444755,Dirigé,treats
PA448997,PA446540,Dirigé,treats
PA448708,PA446107,Dirigé,treats
PA450112,PA445954,Dirigé,treats
PA450112,PA445960,Dirigé,treats
PA164744517,DOID:526,Dirigé,treats
PA451897,DOID:11832,Dirigé,treats
PA165946873,DOID:4329,Dirigé,treats
PA448905,PA445047,Dirigé,treats
PA448708,PA444545,Dirigé,treats
PA449972,DOID:11168,Dirigé,treats
PA450882,PA447216,Dirigé,treats
PA448897,PA443425,Dirigé,treats
PA10227,PA446540,Dirigé,treats
PA448708,DOID:60009,Dirigé,treats
PA448905,PA445672,Dirigé,treats
PA165946873,PA445683,Dirigé,treats
PA450112,PA445941,Dirigé,treats
PA164749133,PA443570,Dirigé,treats
PA450496,PA447196,Dirigé,treats
PA163518919,PA447216,Dirigé,treats
PA164749133,DOID:14095,Dirigé,treats
PA164749133,DOID:11330,Dirigé,treats
PA164744517,DOID:635,Dirigé,treats
PA451224,DOID:10808,Dirigé,treats
PA450882,PA444494,Dirigé,treats
PA449972,DOID:2513,Dirigé,treats
PA450882,PA445547,Dirigé,treats
PA448905,PA445999,Dirigé,treats
PA165946873,PA444903,Dirigé,treats
PA451224,DOID:76,Dirigé,treats
PA449972,DOID:11165,Dirigé,treats
PA163518919,DOID:150,Dirigé,treats
PA448897,PA443796,Dirigé,treats
PA164764583,DOID:884,Dirigé,treats
PA164749044,DOID:10763,Dirigé,treats
PA450761,DOID:3717,Dirigé,treats
PA449307,PA445425,Dirigé,treats
PA164781400,DOID:11328,Dirigé,treats
PA450975,PA445992,Dirigé,treats
PA450761,DOID:4074,Dirigé,treats
PA450266,PA445999,Dirigé,treats
PA450761,PA443622,Dirigé,treats
PA449307,PA443560,Dirigé,treats
PA451850,DOID:104,Dirigé,treats
PA451850,PA443655,Dirigé,treats
PA450266,DOID:1205,Dirigé,treats
PA450761,PA445204,Dirigé,treats
PA449316,PA444370,Dirigé,treats
PA449316,PA443459,Dirigé,treats
PA450266,DOID:1352,Dirigé,treats
PA451850,PA443432,Dirigé,treats
PA450761,PA443560,Dirigé,treats
PA449307,DOID:4015,Dirigé,treats
PA450761,DOID:3683,Dirigé,treats
PA164781400,PA447216,Dirigé,treats
PA449899,PA444370,Dirigé,treats
PA451494,DOID:526,Dirigé,treats
PA450262,DOID:302,Dirigé,treats
PA164764583,DOID:882,Dirigé,treats
PA451850,DOID:0060000,Dirigé,treats
PA451850,PA445113,Dirigé,treats
PA450761,PA445599,Dirigé,treats
PA450761,PA444903,Dirigé,treats
PA164781400,DOID:1229,Dirigé,treats
PA164764583,DOID:888,Dirigé,treats
PA451850,DOID:8596,Dirigé,treats
PA164764583,PA166048838,Dirigé,treats
PA450266,PA445047,Dirigé,treats
PA449899,PA445089,Dirigé,treats
PA451850,DOID:0060185,Dirigé,treats
PA451850,PA445355,Dirigé,treats
PA164764583,DOID:10699,Dirigé,treats
PA449899,DOID:10763,Dirigé,treats
PA450761,DOID:5520,Dirigé,treats
PA164764583,DOID:885,Dirigé,treats
PA450761,DOID:3907,Dirigé,treats
PA451850,DOID:11573,Dirigé,treats
PA164750505,DOID:11330,Dirigé,treats
PA451494,DOID:635,Dirigé,treats
PA450266,PA445672,Dirigé,treats
PA451850,DOID:10242,Dirigé,treats
PA450262,PA166048887,Dirigé,treats
PA164747186,DOID:4398,Dirigé,treats
PA166182547,DOID:8534,Dirigé,treats
PA448861,DOID:5052,Dirigé,treats
PA164776996,DOID:3158,Dirigé,treats
PA164776996,DOID:3136,Dirigé,treats
PA449095,PA443796,Dirigé,treats
PA451106,DOID:7551,Dirigé,treats
PA164776996,DOID:8741,Dirigé,treats
PA448687,DOID:4964,Dirigé,treats
PA164781197,DOID:0050459,Dirigé,treats
PA164747186,DOID:10123,Dirigé,treats
11274,PA443853,Dirigé,treats
PA164776996,PA443879,Dirigé,treats
PA449095,DOID:3146,Dirigé,treats
PA448861,DOID:104,Dirigé,treats
PA165958398,DOID:12385,Dirigé,treats
PA451106,DOID:9988,Dirigé,treats
PA164749171,PA444370,Dirigé,treats
PA449095,DOID:1168,Dirigé,treats
PA449095,PA166114942,Dirigé,treats
PA451106,PA444318,Dirigé,treats
PA164747186,PA446047,Dirigé,treats
PA448861,PA445992,Dirigé,treats
PA164748302,PA444370,Dirigé,treats
PA448861,PA445113,Dirigé,treats
PA166114906,PA444750,Dirigé,treats
PA448861,PA446721,Dirigé,treats
PA449095,DOID:0060185,Dirigé,treats
PA451106,DOID:10027,Dirigé,treats
PA449095,PA443425,Dirigé,treats
PA164745478,PA165108219,Dirigé,treats
PA164745478,PA166048747,Dirigé,treats
PA164744924,PA444070,Dirigé,treats
PA164776996,DOID:3142,Dirigé,treats
PA166230941,PA444065,Dirigé,treats
PA164781197,DOID:2485,Dirigé,treats
PA164776996,PA445451,Dirigé,treats
PA166230941,DOID:7725,Dirigé,treats
PA448861,DOID:11330,Dirigé,treats
PA164747186,DOID:3156,Dirigé,treats
PA448687,PA447197,Dirigé,treats
PA450645,DOID:302,Dirigé,treats
PA448861,PA446421,Dirigé,treats
PA448687,PA445876,Dirigé,treats
PA164781197,DOID:784,Dirigé,treats
PA165906891,PA443624,Dirigé,treats
PA165906891,PA445857,Dirigé,treats
PA164776996,PA443880,Dirigé,treats
PA164776996,DOID:3134,Dirigé,treats
PA166163262,DOID:0050727,Dirigé,treats
PA450214,DOID:11263,Dirigé,treats
PA164769056,PA444814,Dirigé,treats
PA10333,PA444555,Dirigé,treats
PA451616,PA443450,Dirigé,treats
PA450214,PA166048865,Dirigé,treats
PA10333,DOID:11132,Dirigé,treats
PA164764583,DOID:10075,Dirigé,treats
PA164764583,DOID:10080,Dirigé,treats
PA450214,PA445992,Dirigé,treats
PA164764583,PA443739,Dirigé,treats
PA450214,PA445483,Dirigé,treats
PA450214,PA446721,Dirigé,treats
PA164764583,PA166048831,Dirigé,treats
PA10333,DOID:1876,Dirigé,treats
PA164764583,PA166048832,Dirigé,treats
PA166163262,PA443340,Dirigé,treats
PA450521,DOID:10763,Dirigé,treats
PA451300,PA443450,Dirigé,treats
00626,PA445676,Dirigé,treats
PA166163262,PA444942,Dirigé,treats
PA450521,DOID:10824,Dirigé,treats
PA164769056,PA444555,Dirigé,treats
PA450214,PA445672,Dirigé,treats
PA166163262,PA443766,Dirigé,treats
PA450214,DOID:10457,Dirigé,treats
00626,DOID:104,Dirigé,treats
PA450214,DOID:869,Dirigé,treats
PA451100,PA445379,Dirigé,treats
PA451100,PA443464,Dirigé,treats
PA451609,DOID:7007,Dirigé,treats
PA451100,PA444119,Dirigé,treats
PA451100,PA444546,Dirigé,treats
PA451100,PA446169,Dirigé,treats
PA451609,DOID:5077,Dirigé,treats
06243,DOID:10112,Dirigé,treats
PA451100,PA160680212,Dirigé,treats
PA450573,PA444807,Dirigé,treats
PA451609,PA444903,Dirigé,treats
PA451100,PA445089,Dirigé,treats
PA451609,PA444283,Dirigé,treats
PA164746466,PA445920,Dirigé,treats
PA450573,DOID:10763,Dirigé,treats
PA451100,PA445272,Dirigé,treats
08621,DOID:104,Dirigé,treats
PA166182582,PA445672,Dirigé,treats
PA164748027,PA443450,Dirigé,treats
08941,PA443425,Dirigé,treats
PA451057,PA444573,Dirigé,treats
PA451749,PA444854,Dirigé,treats
PA451249,PA445960,Dirigé,treats
PA166182582,PA445557,Dirigé,treats
PA127840611,DOID:10457,Dirigé,treats
PA448788,DOID:14654,Dirigé,treats
PA451749,DOID:1205,Dirigé,treats
01062,DOID:365,Dirigé,treats
SALT001354,PA445312,Dirigé,treats
PA451749,PA444822,Dirigé,treats
SALT001354,PA445196,Dirigé,treats
PA451749,DOID:3142,Dirigé,treats
PA449975,PA444370,Dirigé,treats
PA164748027,PA443570,Dirigé,treats
PA448788,PA445992,Dirigé,treats
PA451749,DOID:4449,Dirigé,treats
SALT001354,DOID:7551,Dirigé,treats
01062,PA443513,Dirigé,treats
SALT001354,PA445992,Dirigé,treats
PA449975,PA445089,Dirigé,treats
PA448966,DOID:0111100,Dirigé,treats
PA164748758,DOID:7551,Dirigé,treats
PA451749,PA445555,Dirigé,treats
PA451749,DOID:3134,Dirigé,treats
SALT001354,PA446721,Dirigé,treats
PA449975,DOID:10763,Dirigé,treats
PA449961,PA444760,Dirigé,treats
PA449961,PA446171,Dirigé,treats
08941,PA445499,Dirigé,treats
PA451749,DOID:3158,Dirigé,treats
PA451749,DOID:3136,Dirigé,treats
PA166182582,PA445047,Dirigé,treats
PA451749,PA444546,Dirigé,treats
08941,DOID:12918,Dirigé,treats
PA449961,PA443560,Dirigé,treats
PA164748758,PA445992,Dirigé,treats
PA127840611,DOID:7551,Dirigé,treats
SALT001354,PA445883,Dirigé,treats
PA127840611,DOID:11263,Dirigé,treats
PA164748758,DOID:229,Dirigé,treats
PA164748758,PA446721,Dirigé,treats
PA127840611,PA443450,Dirigé,treats
PA449961,PA446180,Dirigé,treats
PA164748027,PA445466,Dirigé,treats
PA451100,PA443750,Dirigé,treats
PA451100,PA444513,Dirigé,treats
PA451100,PA443430,Dirigé,treats
PA451100,PA446304,Dirigé,treats
PA451100,PA445062,Dirigé,treats
PA451100,PA444823,Dirigé,treats
PA450573,PA445019,Dirigé,treats
06764,PA445672,Dirigé,treats
06243,PA444560,Dirigé,treats
PA164746466,DOID:883,Dirigé,treats
PA164749300,DOID:11132,Dirigé,treats
PA451100,DOID:74,Dirigé,treats
PA449761,DOID:0111100,Dirigé,treats
PA164749300,PA443314,Dirigé,treats
PA164746466,PA166048928,Dirigé,treats
PA451100,DOID:1205,Dirigé,treats
PA164749300,DOID:47,Dirigé,treats
PA451100,PA445676,Dirigé,treats
PA451100,PA446512,Dirigé,treats
PA451100,PA445004,Dirigé,treats
PA451283,DOID:0111100,Dirigé,treats
PA451609,DOID:5076,Dirigé,treats
PA164746466,PA166048863,Dirigé,treats
PA451609,PA443557,Dirigé,treats
PA451100,PA444845,Dirigé,treats
PA450573,PA444370,Dirigé,treats
PA451609,DOID:3078,Dirigé,treats
06764,PA165108437,Dirigé,treats
PA451100,PA445818,Dirigé,treats
PA451100,PA443751,Dirigé,treats
PA451100,PA447258,Dirigé,treats
PA451100,PA445555,Dirigé,treats
PA451100,DOID:13406,Dirigé,treats
PA164746757,DOID:365,Dirigé,treats
09117,DOID:11832,Dirigé,treats
PA10229,PA444606,Dirigé,treats
09117,PA443851,Dirigé,treats
PA449627,DOID:11132,Dirigé,treats
PA451616,PA444816,Dirigé,treats
PA164764583,DOID:1219,Dirigé,treats
PA450214,PA445960,Dirigé,treats
PA166163262,DOID:13724,Dirigé,treats
PA164769056,DOID:1579,Dirigé,treats
PA449627,PA443314,Dirigé,treats
PA164769056,PA445355,Dirigé,treats
PA449627,DOID:47,Dirigé,treats
PA449627,PA445425,Dirigé,treats
PA451300,PA444816,Dirigé,treats
00626,DOID:0060185,Dirigé,treats
PA164769056,PA443566,Dirigé,treats
PA10333,DOID:12326,Dirigé,treats
PA164776864,PA445131,Dirigé,treats
PA450521,PA443314,Dirigé,treats
PA450214,PA445970,Dirigé,treats
PA166182582,DOID:1579,Dirigé,treats
PA164743150,DOID:10763,Dirigé,treats
PA164748224,PA160680212,Dirigé,treats
PA450203,DOID:11132,Dirigé,treats
PA451682,PA444066,Dirigé,treats
11426,PA443833,Dirigé,treats
PA151958574,PA443444,Dirigé,treats
PA164743150,DOID:10824,Dirigé,treats
PA451949,PA443450,Dirigé,treats
PA451565,PA445724,Dirigé,treats
PA165958410,PA444985,Dirigé,treats
PA164743150,PA445019,Dirigé,treats
PA450203,PA444737,Dirigé,treats
PA164748386,DOID:1289,Dirigé,treats
PA450203,PA445425,Dirigé,treats
PA164754806,PA445196,Dirigé,treats
PA166182582,PA166224501,Dirigé,treats
PA451682,PA447199,Dirigé,treats
PA164748224,PA445013,Dirigé,treats
PA450203,PA444617,Dirigé,treats
PA450203,PA445204,Dirigé,treats
PA450203,PA443560,Dirigé,treats
PA164743145,PA444065,Dirigé,treats
PA166114961,DOID:526,Dirigé,treats
PA164748386,PA445254,Dirigé,treats
PA164743145,PA444070,Dirigé,treats
PA166182582,DOID:1352,Dirigé,treats
PA451737,PA444370,Dirigé,treats
PA450203,PA444040,Dirigé,treats
PA451565,PA445174,Dirigé,treats
PA451565,PA443434,Dirigé,treats
PA164748386,PA446851,Dirigé,treats
PA449364,PA444282,Dirigé,treats
PA164754806,DOID:229,Dirigé,treats
PA164743150,PA444370,Dirigé,treats
PA451565,PA445555,Dirigé,treats
PA449364,PA444281,Dirigé,treats
PA450203,DOID:2871,Dirigé,treats
PA164749474,DOID:10763,Dirigé,treats
PA164754806,PA445672,Dirigé,treats
PA451565,PA444318,Dirigé,treats
PA164771230,PA444070,Dirigé,treats
PA451737,DOID:10763,Dirigé,treats
PA450084,DOID:10763,Dirigé,treats
PA450203,DOID:288,Dirigé,treats
PA164748224,PA445010,Dirigé,treats
PA164754806,DOID:381,Dirigé,treats
PA449364,PA445137,Dirigé,treats
PA164746007,PA445032,Dirigé,treats
PA164749474,PA445019,Dirigé,treats
PA165292659,PA445379,Dirigé,treats
PA162363968,DOID:0050747,Dirigé,treats
PA450572,PA443434,Dirigé,treats
PA166264521,PA447058,Dirigé,treats
PA162363968,PA447055,Dirigé,treats
PA451093,DOID:11132,Dirigé,treats
PA448970,PA444370,Dirigé,treats
PA451093,PA445499,Dirigé,treats
PA450863,PA444755,Dirigé,treats
PA165292659,PA444266,Dirigé,treats
PA166264521,DOID:0050784,Dirigé,treats
PA449476,PA443560,Dirigé,treats
PA449710,DOID:10763,Dirigé,treats
PA166264521,DOID:0050783,Dirigé,treats
PA451221,PA443532,Dirigé,treats
PA165292659,PA443430,Dirigé,treats
PA165958348,PA447178,Dirigé,treats
PA166264521,PA444987,Dirigé,treats
PA162363968,PA446182,Dirigé,treats
PA448970,PA445089,Dirigé,treats
PA162363968,PA443331,Dirigé,treats
PA449968,PA445970,Dirigé,treats
PA451093,DOID:10763,Dirigé,treats
PA448970,DOID:10763,Dirigé,treats
PA450863,PA446169,Dirigé,treats
PA164748037,PA445312,Dirigé,treats
PA162363968,PA444985,Dirigé,treats
PA165292659,PA445811,Dirigé,treats
PA162363968,PA445010,Dirigé,treats
PA451093,PA166197121,Dirigé,treats
PA451093,DOID:2055,Dirigé,treats
PA449871,PA443247,Dirigé,treats
PA449968,PA445992,Dirigé,treats
PA162363968,PA445015,Dirigé,treats
PA449871,DOID:888,Dirigé,treats
PA162363968,PA160680212,Dirigé,treats
PA449968,DOID:0060000,Dirigé,treats
PA449968,DOID:3055,Dirigé,treats
PA165292659,PA446366,Dirigé,treats
PA162363968,PA445340,Dirigé,treats
PA166228321,PA445939,Dirigé,treats
PA162363968,DOID:0090016,Dirigé,treats
PA451221,PA445190,Dirigé,treats
PA449710,PA444370,Dirigé,treats
PA165292659,PA445818,Dirigé,treats
PA162363968,PA445013,Dirigé,treats
PA449476,DOID:3717,Dirigé,treats
PA450572,PA445174,Dirigé,treats
PA450595,PA445174,Dirigé,treats
PA164745398,DOID:6364,Dirigé,treats
05332,PA445846,Dirigé,treats
PA450595,PA443434,Dirigé,treats
PA166182604,PA446558,Dirigé,treats
PA451249,PA166048776,Dirigé,treats
PA164752234,PA444105,Dirigé,treats
PA164781022,PA444370,Dirigé,treats
09345,PA443880,Dirigé,treats
PA451089,PA443796,Dirigé,treats
PA450595,DOID:14087,Dirigé,treats
13670,DOID:1252,Dirigé,treats
PA164749631,PA444760,Dirigé,treats
PA451627,PA444693,Dirigé,treats
PA164752234,DOID:0050782,Dirigé,treats
PA450595,PA445555,Dirigé,treats
PA164752234,PA443945,Dirigé,treats
PA164752234,PA445999,Dirigé,treats
PA450373,PA444071,Dirigé,treats
PA448563,PA444370,Dirigé,treats
PA164745462,PA443430,Dirigé,treats
PA450413,PA444282,Dirigé,treats
PA450595,PA444318,Dirigé,treats
PA450595,DOID:6364,Dirigé,treats
PA451627,DOID:0090078,Dirigé,treats
PA451089,DOID:1168,Dirigé,treats
PA450983,PA443450,Dirigé,treats
PA164781022,PA445089,Dirigé,treats
PA450413,DOID:13550,Dirigé,treats
PA450413,PA444281,Dirigé,treats
PA164749631,PA445013,Dirigé,treats
PA164781022,DOID:10763,Dirigé,treats
PA164752234,DOID:8534,Dirigé,treats
PA448563,PA445089,Dirigé,treats
PA451089,PA443425,Dirigé,treats
PA450373,DOID:7725,Dirigé,treats
PA451627,PA445826,Dirigé,treats
PA448563,DOID:10763,Dirigé,treats
PA450595,PA445724,Dirigé,treats
PA164752234,DOID:10808,Dirigé,treats
09401,DOID:8534,Dirigé,treats
09345,DOID:9746,Dirigé,treats
PA451627,PA162372808,Dirigé,treats
PA166182604,PA445960,Dirigé,treats
05332,PA445013,Dirigé,treats
09401,PA443796,Dirigé,treats
PA450595,PA443433,Dirigé,treats
PA450595,DOID:2965,Dirigé,treats
PA10813,PA165109103,Dirigé,treats
09401,PA444370,Dirigé,treats
PA451536,PA443973,Dirigé,treats
PA451704,PA443829,Dirigé,treats
PA451704,PA443566,Dirigé,treats
PA165958404,PA445465,Dirigé,treats
PA450039,PA447058,Dirigé,treats
PA166048558,PA444898,Dirigé,treats
PA164752426,PA444370,Dirigé,treats
PA449368,PA446721,Dirigé,treats
PA164781042,DOID:0060000,Dirigé,treats
PA450150,DOID:6364,Dirigé,treats
PA164776668,PA444066,Dirigé,treats
PA165958432,PA444281,Dirigé,treats
08906,PA447178,Dirigé,treats
PA449368,PA445883,Dirigé,treats
PA450039,DOID:0050783,Dirigé,treats
PA164776668,PA447196,Dirigé,treats
PA10318,PA443829,Dirigé,treats
PA166048558,DOID:2513,Dirigé,treats
PA450039,PA444987,Dirigé,treats
PA164752426,PA445089,Dirigé,treats
PA164781371,PA444282,Dirigé,treats
PA166182682,DOID:12326,Dirigé,treats
PA164747674,PA444040,Dirigé,treats
13483,DOID:2297,Dirigé,treats
PA166123406,DOID:47,Dirigé,treats
PA165958404,PA443364,Dirigé,treats
PA164752426,DOID:10763,Dirigé,treats
